Klasa,Wavelength_um,A_Mean,A_Sigma,A_Mean_minus_sigma,A_Mean_plus_sigma,B_Mean,B_Sigma,B_Mean_minus_sigma,B_Mean_plus_sigma,C_Mean,C_Sigma,C_Mean_minus_sigma,C_Mean_plus_sigma,D_Mean,D_Sigma,D_Mean_minus_sigma,D_Mean_plus_sigma,K_Mean,K_Sigma,K_Mean_minus_sigma,K_Mean_plus_sigma,L_Mean,L_Sigma,L_Mean_minus_sigma,L_Mean_plus_sigma,O_Mean,O_Sigma,O_Mean_minus_sigma,O_Mean_plus_sigma,S_Mean,S_Sigma,S_Mean_minus_sigma,S_Mean_plus_sigma,V_Mean,V_Sigma,V_Mean_minus_sigma,V_Mean_plus_sigma,X_Mean,X_Sigma,X_Mean_minus_sigma,X_Mean_plus_sigma
S,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8264560600000004,0.07036121999999999,0.7560948400000004,0.8968172800000004,,,,,,,,
S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7906583933333338,0.07373088666666666,0.7169275066666672,0.8643892800000004,,,,,,,,
V,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7260047328767123,0.04017472602739726,0.685830006849315,0.7661794589041095,,,,
V,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8051941164383561,0.035854863013698626,0.7693392534246575,0.8410489794520548,,,,
V,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8843835000000001,0.031534999999999994,0.8528485000000001,0.9159185000000001,,,,
V,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9635728835616438,0.02721513698630137,0.9363577465753424,0.9907880205479452,,,,
V,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0191742428571429,0.030563200000000006,0.9886110428571429,1.0497374428571429,,,,
V,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0546821,0.04044319999999999,1.0142389,1.0951252999999999,,,,
V,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.090189957142857,0.0503232,1.039866757142857,1.140513157142857,,,,
V,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992768133333332,0.062105246666666676,0.9371715666666665,1.06138206,,,,
V,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8639454800000002,0.07455558,0.7893899000000002,0.9385010600000001,,,,
V,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7286141466666667,0.08700591333333334,0.6416082333333334,0.81562006,,,,
V,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5932828133333337,0.09945624666666665,0.493826566666667,0.6927390600000003,,,,
V,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45795148000000024,0.11190657999999999,0.34604490000000027,0.5698580600000003,,,,
V,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32262014666666683,0.12435691333333335,0.19826323333333348,0.44697706000000015,,,,
V,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18728881333333347,0.1368072466666667,0.05048156666666678,0.32409606000000013,,,,
V,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051957480000000666,0.14925757999999997,-0.0973000999999993,0.20121506000000064,,,,
V,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08337385333333269,0.16170791333333331,-0.245081766666666,0.07833406000000062,,,,
X,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9333286438356164,0.02351794520547945,0.909810698630137,0.9568465890410959
X,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9525978219178082,0.018693972602739726,0.9339038493150684,0.9712917945205479
X,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971867,0.013869999999999993,0.957997,0.9857370000000001
X,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911361780821918,0.009046027397260275,0.9820901506849316,1.000182205479452
X,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0098297357142858,0.008665892857142858,1.001163842857143,1.0184956285714286
X,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02803295,0.012071249999999999,1.0159617,1.0401042
X,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0462361642857143,0.015476607142857144,1.0307595571428572,1.0617127714285715
X,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06073478,0.020001073333333338,1.0407337066666666,1.0807358533333333
X,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07393178,0.024918739999999995,1.04901304,1.0988505199999998
X,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08712878,0.029836406666666666,1.0572923733333333,1.1169651866666668
